iter	Accuracy	MultiClass
338	0.4153472222	1.911213542
339	0.4159805556	1.910486806
340	0.4163472222	1.909771701
341	0.4166333333	1.909074826
342	0.4173722222	1.908288715
343	0.4176111111	1.907459722
344	0.4181555556	1.906728472
345	0.4184611111	1.905840972
346	0.41875	1.905171354
347	0.4194027778	1.904337847
348	0.4195444444	1.903685937
349	0.4200361111	1.902956944
350	0.420575	1.902151736
351	0.4208861111	1.901345139
352	0.4212472222	1.900657639
353	0.4218944444	1.899786285
354	0.4225805556	1.898949306
355	0.4229944444	1.898254167
356	0.4233972222	1.897530729
357	0.4238833333	1.896769618
358	0.4240527778	1.896024132
359	0.4243361111	1.895223264
360	0.4247694444	1.894522222
361	0.4253138889	1.893783681
362	0.4252833333	1.892905903
363	0.4256138889	1.892125174
364	0.4261444444	1.891192187
365	0.4270472222	1.89044809
366	0.4276555556	1.889601562
367	0.427975	1.888992708
368	0.4283416667	1.888218924
369	0.4285638889	1.887588194
370	0.4291638889	1.886840104
371	0.4296194444	1.886123958
372	0.430075	1.885388542
373	0.4304361111	1.884786111
374	0.4306388889	1.88415191
375	0.4309777778	1.883583507
376	0.4314083333	1.882836111
377	0.4319944444	1.882066146
378	0.4320527778	1.881466667
379	0.4326916667	1.880773438
380	0.4328333333	1.880117014
381	0.4331861111	1.879407812
382	0.433625	1.878664062
383	0.4338194444	1.877963542
384	0.4341166667	1.877246701
385	0.4346194444	1.876417361
386	0.4349527778	1.875810069
387	0.4354194444	1.875008333
388	0.4358638889	1.874340451
389	0.4359638889	1.873646354
390	0.4363333333	1.872859201
391	0.4364777778	1.872237326
392	0.4368666667	1.871517708
393	0.4370638889	1.870977951
394	0.4375777778	1.870388889
395	0.4378722222	1.869688194
396	0.4381527778	1.868908681
397	0.4384138889	1.868328125
398	0.4386666667	1.867526736
399	0.4389055556	1.866811285
400	0.4392777778	1.866199479
401	0.4397694444	1.86535
402	0.4403222222	1.864761458
403	0.4407666667	1.864021354
404	0.4412361111	1.863230208
405	0.4417277778	1.862454688
406	0.4420194444	1.861764757
407	0.4423527778	1.861081076
408	0.4424555556	1.860359028
409	0.4428138889	1.859615972
410	0.4434083333	1.858867708
411	0.4435694444	1.858322049
412	0.444125	1.857495312
413	0.4445861111	1.856710243
414	0.4451277778	1.856013368
415	0.4456555556	1.855272569
416	0.4460888889	1.854517882
417	0.4464916667	1.853707639
418	0.4468472222	1.852977604
419	0.4472916667	1.852260243
420	0.4477333333	1.851511979
421	0.4478694444	1.851010417
422	0.4480194444	1.850438889
423	0.4485333333	1.849722569
424	0.4490722222	1.848939931
425	0.4494916667	1.848195139
426	0.4500277778	1.847572569
427	0.4505111111	1.846763368
428	0.4507805556	1.846119271
429	0.4513444444	1.845366319
430	0.4516333333	1.844850521
431	0.4520305556	1.844154514
432	0.4521138889	1.843581597
433	0.4525	1.842793924
434	0.4529416667	1.842169444
435	0.4534305556	1.841502431
436	0.4538111111	1.840853993
437	0.4541805556	1.840169271
438	0.4544611111	1.839658507
439	0.4548277778	1.838922049
440	0.4551527778	1.838317535
441	0.4556	1.837640104
442	0.4559305556	1.837106076
443	0.4560444444	1.836430382
444	0.4564111111	1.835709201
445	0.4567972222	1.835077083
446	0.4570444444	1.834444444
447	0.4573333333	1.833864931
448	0.4579416667	1.833258681
449	0.4584083333	1.832544965
450	0.4587472222	1.831791146
451	0.4593444444	1.830979167
452	0.4597277778	1.830324479
453	0.4601694444	1.829678299
454	0.4605388889	1.828879167
455	0.4608583333	1.828069097
456	0.4611944444	1.827542361
457	0.4614888889	1.826978125
458	0.4617861111	1.826252604
459	0.4622944444	1.825511111
460	0.4626694444	1.824872569
461	0.4633027778	1.824114236
462	0.4638027778	1.823391667
463	0.4640472222	1.822735069
464	0.4644944444	1.822004687
465	0.4647888889	1.821226215
466	0.4651972222	1.82062934
467	0.4654638889	1.819999132
468	0.4658138889	1.819458681
469	0.4663027778	1.818819444
470	0.466525	1.818239931
471	0.4669722222	1.817603472
472	0.4672222222	1.816929167
473	0.4674916667	1.816292187
474	0.4679194444	1.815546528
475	0.4680944444	1.814889063
476	0.4685305556	1.814119618
477	0.4688833333	1.813582465
478	0.46925	1.812901042
479	0.4696666667	1.812193229
480	0.4700555556	1.811612153
481	0.4703055556	1.811065451
482	0.47065	1.810419271
483	0.4711583333	1.809753299
484	0.4717166667	1.809044097
485	0.4719861111	1.8083
486	0.47225	1.807680208
487	0.4722638889	1.806990451
488	0.4728305556	1.806383854
489	0.4732527778	1.805817708
490	0.4734666667	1.805348437
491	0.4738972222	1.804729861
492	0.4741472222	1.804233854
493	0.4745638889	1.803638542
494	0.4751388889	1.802911979
495	0.4753611111	1.802363889
496	0.4757472222	1.801718403
497	0.4759111111	1.801278472
498	0.4760972222	1.800756944
499	0.4761166667	1.800181771
500	0.4764805556	1.799439236
501	0.4770166667	1.798842361
502	0.4772805556	1.798235069
